,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),SO2,CO,O3,NO2,PM10,PM25
15442,4720160408,47,20160408,15.907142857142857,7.921428571428572,23.107142857142854,2.7857142857142856,269.2857142857143,999.1214285714287,0.003313564,0.460904255,0.041652499999999995,0.01674375,58.65162907,26.68085106
15443,4720160409,47,20160409,16.742857142857144,9.392857142857142,24.392857142857146,2.657142857142857,248.57142857142856,998.25,0.004048454,0.6018041239999999,0.05222330099999999,0.019420603999999998,121.13382,48.29166667
15444,4720160410,47,20160410,12.128571428571426,7.1571428571428575,20.085714285714285,3.128571428571429,93.57142857142857,999.342857142857,0.00400665,0.62745098,0.04885648099999999,0.014209635,94.13194444,50.44680851
15445,4720160411,47,20160411,8.357142857142858,4.557142857142857,13.171428571428573,2.507142857142857,104.28571428571428,1006.7142857142856,0.003037008,0.413451777,0.041464115,0.01109973,29.93301435,21.88095238
15446,4720160412,47,20160412,10.735714285714286,2.6642857142857146,18.04285714285714,1.7071428571428573,189.28571428571428,1002.0928571428572,0.004041103,0.46541353399999996,0.032378251000000004,0.018142063,35.71568627,20.0
15447,4720160413,47,20160413,12.707142857142859,10.0,15.035714285714288,1.4999999999999996,190.7142857142857,993.1714285714287,0.003857353,0.534068627,0.022210648,0.020245573,32.26851852,17.78125
15448,4720160414,47,20160414,15.35,9.45,22.507142857142853,2.571428571428572,238.57142857142856,996.535714285714,0.003452417,0.49168765700000006,0.03990566,0.014255851000000002,47.62707838,29.85714286
15449,4720160415,47,20160415,12.828571428571427,6.235714285714287,19.428571428571427,2.2642857142857142,168.57142857142858,1005.4785714285716,0.0036313129999999997,0.514609572,0.040240654,0.015463255,38.74178404,27.17777778
15450,4720160416,47,20160416,13.978571428571426,6.6571428571428575,21.185714285714287,2.4214285714285717,177.85714285714286,995.5142857142857,0.004168796,0.49140625,0.039946759,0.016722135,41.83526682,22.58139535
15451,4720160417,47,20160417,14.164285714285713,10.871428571428574,17.95,5.499999999999999,269.2857142857143,987.35,0.003176923,0.435376045,0.050410758,0.006283102,31.40633245,16.275
15452,4720160418,47,20160418,13.757142857142856,9.242857142857146,19.99285714285714,3.314285714285714,265.7142857142857,999.1214285714287,0.0035228720000000002,0.44135977299999996,0.050912717999999996,0.009688736,45.90274314,22.9375
15453,4720160419,47,20160419,12.085714285714285,7.185714285714287,18.485714285714284,2.4142857142857146,265.0,1007.2571428571428,0.0031846559999999997,0.45275590600000004,0.04714604,0.011531758999999999,34.92269327,17.51351351
